name,city,address,phone,website,domain,rating,reviews,category,email,facebook,instagram,linkedin,email2,phone2
Osteria Luci in cucina,"Rome, Italy","Piazza Pasquale Paoli, 15, 00186 Roma RM, Italy",06 5987 9183,http://www.osterialuciincucina.it/,osterialuciincucina.it,4.5,1299.0,restaurant,assistenza@webador.it,https://facebook.com/OsteriaLuciInCucina/?locale=it_IT,https://instagram.com/luciincucina/,,"assistenza@webador.it, osteriacdr@gmail.com","0063606676, 06 5987 9183, 0167364017"
Antica Osteria Rugantino,"Rome, Italy","Via della Lungaretta, 54, 00153 Roma RM, Italy",06 581 8517,http://www.anticaosteriarugantino.com/,anticaosteriarugantino.com,4.5,4239.0,restaurant,,,,,,
Hostaria Isidoro,"Rome, Italy","Via di S. Giovanni in Laterano, 59/A, 00184 Roma RM, Italy",06 700 8266,http://www.hostariaisidoro.com/,hostariaisidoro.com,4.3,1693.0,restaurant,,https://www.facebook.com/HostariaIsidoro,https://www.instagram.com/hostariaisidoro/?hl=it,,,"06 700 8266, 030672208, 04708282"
Alle Fratte di Trastevere,"Rome, Italy","Via delle Fratte di Trastevere, 49/50, 00153 Roma RM, Italy",06 583 5775,http://allefratteditrastevere.com/index.php?lang=ita&section=home,allefratteditrastevere.com,4.6,3816.0,restaurant,allefratteditrastevere@gmail.com,,,,allefratteditrastevere@gmail.com,"07 561 418, 00 679 286 67, +39-065835775 -"
Moonrise Café,"Rome, Italy","V. Alfredo Baccarini, 4, 00179 Roma RM, Italy",06 8591 5524,,,4.8,241.0,restaurant,,,,,,
Osteria Nuvolari,"Rome, Italy","Via degli Ombrellari, 10, 00193 Roma RM, Italy",06 6880 3018,http://osterianuvolari.it/,osterianuvolari.it,4.4,2438.0,restaurant,,https://www.facebook.com/osterianuvolari/?locale=it_IT,https://www.instagram.com/osterianuvolari/,,,"0490-0491, 00-200 200, +39 06 6880 3018"
Cugino,"Rome, Italy","The Hoxton, Rome, L.go Benedetto Marcello, 220, 00198 Roma RM, Italy",06 9450 2713,https://thehoxton.com/rome/cugino-restaurant/?utm_source=google&utm_medium=local&utm_campaign=restaurant-cugino,thehoxton.com,4.4,177.0,restaurant,sales.lloyd@thehox.com,https://www.facebook.com/TheHoxtonHotel,https://instagram.com/cugino__roma,,"events.amsterdam@thehox.com, events.london@ennismore.com, groups.shoreditch@thehox.com","00-200 200, 014639840546923, 09203287"
KUNGFU EXPRESS,"Rome, Italy","Via del Mascherino, 59/61, 00193 Roma RM, Italy",347 369 9866,,,4.7,1289.0,restaurant,,,,,,
JO&JOE Roma Restaurant & Bar,"Rome, Italy","Via delle Quattro Fontane, 113, 00184 Roma RM, Italy",06 4559 0522,https://www.joandjoe.com/roma/en/restaurant-and-bar/,joandjoe.com,4.8,400.0,restaurant,roma@joandjoe.com,https://www.facebook.com/JOandJOEworldwide,https://www.instagram.com/joandjoe/,https://www.linkedin.com/company/joandjoe/,roma@joandjoe.com,+39 0645590522
kitchen bar,"Rome, Italy","Via Gaeta, 48, 00185 Roma RM, Italy",06 494 0630,http://www.kitchenbarroma.it/,kitchenbarroma.it,4.6,382.0,restaurant,,https://www.facebook.com/powerpixel.it/,,,,"00000088, 09432-2048, 000266139407"
Mrgda Ristorante cucina etiope & eritrea,"Rome, Italy","Via Prenestina, 182, 00176 Roma RM, Italy",329 933 3355,https://www.mrgdarestaurant.it/,mrgdarestaurant.it,4.8,298.0,restaurant,,,,,,
Antela Restaurant,"Rome, Italy","Via dei Gracchi, 330/332, 00192 Roma RM, Italy",342 522 8850,http://www.antelarestaurant.it/,antelarestaurant.it,4.9,79.0,restaurant,INFO@ANTELARESTAURANT.IT,http://www.facebook.com/share/16CTD5Pzme/,http://www.instagram.com/antelarestaurant?igsh=amUwMXhrN3JucjNs,,"INFO@ANTELARESTAURANT.IT, info@antelarestaurant.it","+393425228850, +39 342 522 8850"
Cesare al Pellegrino,"Rome, Italy","Via del Pellegrino, 117, 00186 Roma RM, Italy",06 6880 1978,https://trattoriadacesare.it/,trattoriadacesare.it,4.4,273.0,restaurant,,,https://www.instagram.com/trattoriadacesare/,,,"00627-768, 002-1-1-350, 00627-300"
Mama Eat - Roma Vaticano,"Rome, Italy","Borgo Pio, 28, 00193 Roma RM, Italy",06 4550 8771,http://www.mamaeat.com/,mamaeat.com,4.3,3158.0,restaurant,,https://www.facebook.com/ristorantemamaeat,https://www.instagram.com/mama_eat/?hl=it,,,"064462335469781, 0214844 12, 076850247591759"
Don Pasquale Restaurant & Bar,"Rome, Italy","Via delle Muratte, 78, 00187 Roma RM, Italy",06 878087,http://www.hotelmaalot.com/,hotelmaalot.com,4.5,374.0,restaurant,gmhotel@pec.it,https://www.facebook.com/maalothotel/,https://www.instagram.com/hotelmaalot/,https://it.linkedin.com/company/maalot-luxury-hotel,"mail@hotelmaalot.com, donpasquale@hotelmaalot.com, reservations@hotelmaalot.com","+39 06 80 87 80, 0141690690961, 043506134323"
一餐厅 罗马 One Restaurant,"Rome, Italy","via Tuscolana 623, Via Tuscolana, 621, 00174 Roma RM, Italy",389 950 4709,https://www.onerestaurantroma.com/,onerestaurantroma.com,4.6,596.0,restaurant,,,,,,"0490-0491, 0160-0161, 053144538958"
Neighborhood Aurelia Filipino Restaurant,"Rome, Italy","Via Aurelia, 313, 00165 Roma RM, Italy",327 336 1686,,,4.5,157.0,restaurant,,,,,,
