name;city;address;website;instagram
TH Roma - Carpegna Palace Hotel;Rome, Italy;Via Aurelia, 481, 00165 Roma RM, Italy;https://www.carpegnapalace.it/;https://instagram.com/THResorts
Urban Garden Hotel;Rome, Italy;Via di Rebibbia, 18/34, 00156 Roma RM, Italy;http://www.urbangardenhotelroma.com/;https://www.instagram.com/urban_garden_hotel/
Hotel del Corso;Rome, Italy;Via del Corso, 79, 00186 Roma RM, Italy;https://www.hoteldelcorsoroma.com/;https://www.instagram.com/
Hotel Verona;Rome, Italy;Via di S. Maria Maggiore, 154, 00185 Roma RM, Italy;https://www.hotelveronarome.com/;https://www.instagram.com/hotelveronaroma/
GP Hotel;Rome, Italy;Via Giorgio Perlasca, 50, 00155 Roma RM, Italy;http://www.gphotel.it/;https://www.instagram.com/gphotelroma
The Hive Hotel;Rome, Italy;Via Torino, 6, 00184 Roma RM, Italy;https://www.thehiverome.com/?utm_source=gbp&utm_medium=organic;https://www.instagram.com/thehiverome/
Relais Fontana Di Trevi;Rome, Italy;Via del Lavatore, 43-44, 00187 Roma RM, Italy;http://www.relaisfontanaditrevi.com/;https://www.instagram.com/trevirooftop/
Pasqualino Al Colosseo dal 1956- Trattoria Romana;Rome, Italy;Via dei SS. Quattro, 66, 00184 Roma RM, Italy;https://www.pasqualinoalcolosseo.com/;https://www.instagram.com/pasqualinoalcolosseo/
Trattoria Della Stampa;Rome, Italy;Via dei Maroniti, 32, 00187 Roma RM, Italy;https://www.trattoriadellastampatrevi.it/;https://www.instagram.com/trattoriadellastampa1956/
Trattoria Da Enzo;Rome, Italy;Via dei Vascellari, 29, 00153 Roma RM, Italy;http://www.daenzoal29.com/;https://instagram.com/daenzoal29
Trattoria Pancia Felice;Rome, Italy;Via di Porta Castello, 11, 00193 Roma RM, Italy;https://www.panciafelice.it/;https://www.instagram.com/trattoria_panciafelice/
Trattoria Pizzeria Il Girasole;Rome, Italy;Via del Boschetto, 28, 00184 Roma RM, Italy;http://www.trattoriamontiilgirasole.it/;https://www.instagram.com/trattoria.ilgirasole/
Breccia - Trattoria Moderna;Rome, Italy;Via Nomentana, 61, 00198 Roma RM, Italy;http://www.brecciabistrot.com/;https://www.instagram.com/breccia_trattoriamoderna/
Trattoria Al Gran Sasso - dal 1965;Rome, Italy;Via di Ripetta, 32, 00186 Roma RM, Italy;http://trattoria-al-gran-sasso.eatbu.com/;https://www.instagram.com/trattoria_al_gran_sasso/
Trattoria Sapori Di Casa;Rome, Italy;Viale dell'Università, 17, 00185 Roma RM, Italy;https://www.trattoriasaporidicasa.it/;https://instagram.com/trattoriasaporidicasa
Osteria da Fortunata;Rome, Italy;Via del Pellegrino, 11/12, 00186 Roma RM, Italy;https://www.osteriadafortunata.it/;https://www.instagram.com/osteria_da_fortunata_italia/
Santapupa Trattoria Romana;Rome, Italy;Piazza Navona, 40, 00186 Roma RM, Italy;https://www.trattoriasantapupa.it/;http://instagram.com
Trattoria Coriolano Roma Porta Pia;Rome, Italy;Via Ancona, 14, 00198 Roma RM, Italy;http://www.trattoriacoriolano.it/;https://www.instagram.com/trattoriacoriolano/
Trattoria Polese;Rome, Italy;Piazza Sforza Cesarini, 40, 00186 Roma RM, Italy;http://www.trattoriapolese.com/;https://www.instagram.com/trattoria_polese/
Sciarra Trattoria Pizzeria;Rome, Italy;Piazza dell'Oratorio, 75, 00187 Roma RM, Italy;http://sciarraroma.it/;https://www.instagram.com/ristorantesciarraroma/
Trattoria Ai Due Ponti;Rome, Italy;Via Flaminia, 858, 00191 Roma RM, Italy;https://www.trattoriaaidueponti.it/;https://www.instagram.com/ristoranteaidueponti1922/
