Profile Links,Status;name;city;address;website;instagram;status
;Osteria Luci in cucina;Rome, Italy;Piazza Pasquale Paoli, 15, 00186 Roma RM, Italy;http://www.osterialuciincucina.it/;https://instagram.com/luciincucina/;Успешно отправлено
;Hostaria Isidoro;Rome, Italy;Via di S. Giovanni in Laterano, 59/A, 00184 Roma RM, Italy;http://www.hostariaisidoro.com/;https://www.instagram.com/hostariaisidoro/?hl=it;Кнопка сообщения не найдена
;Osteria Nuvolari;Rome, Italy;Via degli Ombrellari, 10, 00193 Roma RM, Italy;http://osterianuvolari.it/;https://www.instagram.com/osterianuvolari/;Успешно отправлено
;Cugino;Rome, Italy;The Hoxton, Rome, L.go Benedetto Marcello, 220, 00198 Roma RM, Italy;https://thehoxton.com/rome/cugino-restaurant/?utm_source=google&utm_medium=local&utm_campaign=restaurant-cugino;https://instagram.com/cugino__roma;Успешно отправлено
;JO&JOE Roma Restaurant & Bar;Rome, Italy;Via delle Quattro Fontane, 113, 00184 Roma RM, Italy;https://www.joandjoe.com/roma/en/restaurant-and-bar/;https://www.instagram.com/joandjoe/;Успешно отправлено
;Antela Restaurant;Rome, Italy;Via dei Gracchi, 330/332, 00192 Roma RM, Italy;http://www.antelarestaurant.it/;http://www.instagram.com/antelarestaurant;Успешно отправлено
;Cesare al Pellegrino;Rome, Italy;Via del Pellegrino, 117, 00186 Roma RM, Italy;https://trattoriadacesare.it/;https://www.instagram.com/trattoriadacesare/;Успешно отправлено
;Mama Eat - Roma Vaticano;Rome, Italy;Borgo Pio, 28, 00193 Roma RM, Italy;http://www.mamaeat.com/;https://www.instagram.com/mama_eat/;Успешно отправлено
;Don Pasquale Restaurant & Bar;Rome, Italy;Via delle Muratte, 78, 00187 Roma RM, Italy;http://www.hotelmaalot.com/;https://www.instagram.com/hotelmaalot/;Успешно отправлено
;Carlo Menta;Rome, Italy;Via della Lungaretta, 101, 00153 Roma RM, Italy;https://www.carlomenta.it/;https://www.instagram.com/carlomenta_trastevere/;Успешно отправлено
;Propaganda Italian Cuisine;Rome, Italy;Via Claudia, 15, 00184 Roma RM, Italy;https://propagandaitaliancuisine.it/;https://www.instagram.com/propagandaitaliancuisine/;Успешно отправлено
;Ciampini Bistrot;Rome, Italy;Via della Fontanella di Borghese, 59, 00186 Roma RM, Italy;https://ciampini.com/;https://www.instagram.com/ciampini_roma/;Успешно отправлено
;Lauro Bistrot;Rome, Italy;V. dei Coronari, 180, 00186 Roma RM, Italy;https://laurobistrot.shop/;https://www.instagram.com/laurobistrot180/;Кнопка сообщения не найдена
;I Fraschettari;Rome, Italy;Via Fulvio Maroi, 64, 00166 Roma RM, Italy;http://www.fraschettari.it/;https://www.instagram.com/fraschettari_/;Успешно отправлено
;Ristorante Cotto - Dharma Group;Rome, Italy;Via Torino, 124, 00184 Roma RM, Italy;https://www.dharmagroup.it/cotto/;https://www.instagram.com/cottoroma;Успешно отправлено
;Oysteria;Rome, Italy;Via Mattia Battistini, 166/b, 00167 Roma RM, Italy;http://www.oysteria.it/;https://www.instagram.com/explore/locations/203943503417421/oysteria/;Кнопка сообщения не найдена
;Salone Eva at Palm Court;Rome, Italy;Piazza della Trinità dei Monti, 6, 00187 Roma RM, Italy;https://www.hotelhasslerroma.com/it/ristoranti-bar/salone-eva;https://www.instagram.com/explore/search/keyword/;Кнопка сообщения не найдена
;Uliveto Restaurant & Terrace;Rome, Italy;Via Alberto Cadlolo, 101, 00136 Roma RM, Italy;https://romecavalieri.com/uliveto/;https://www.instagram.com/romecavalieri/;Успешно отправлено
;Alla Rampa dei Gracchi;Rome, Italy;Via dei Gracchi, 90, 00192 Roma RM, Italy;http://www.allarampadeigracchi.com/;https://www.instagram.com/allarampadeigracchi;Кнопка сообщения не найдена
;Timoty Drinks & Kitchen;Rome, Italy;Via Torino, 46, 00184 Roma RM, Italy;https://www.timotyristorante.it/;https://www.instagram.com/timoty_restaurant/;Успешно отправлено
;Barnum Roma;Rome, Italy;Via del Pellegrino, 87, 00186 Roma RM, Italy;https://www.barnumroma.com/;https://www.instagram.com/barnumroma/;Успешно отправлено
;La Licata;Rome, Italy;Via dei Serpenti, 165, 00184 Roma RM, Italy;https://www.barlalicata.it/;https://www.instagram.com/barlalicata/;Успешно отправлено
;RoYaL Art Cafè;Rome, Italy;P.za del Colosseo, 1, 00184 Roma RM, Italy;http://royalartcafe.it/;http://instagram.com/royalartcafe;Успешно отправлено
;Jazz Cafè;Rome, Italy;Via Giuseppe Zanardelli, 12, 00186 Roma RM, Italy;https://www.jazzcaferoma.com/;https://www.instagram.com/jazzcaferoma/;Успешно отправлено
;Roscioli Caffè Pasticceria;Rome, Italy;Piazza Benedetto Cairoli, 16, 00186 Roma RM, Italy;http://www.rosciolicaffe.com/;https://www.instagram.com/rosciolicaffe/;Успешно отправлено
;Florian's Cafe;Rome, Italy;Piazza dell'Indipendenza, 9, 00185 Roma RM, Italy;http://www.florianscafe.it/;https://www.instagram.com/florians_roma/;Успешно отправлено
;Cafe Lungara 1940;Rome, Italy;Via della Lungara, 14/15, 00165 Roma RM, Italy;https://lungara1940.com/;https://www.instagram.com/lungara1940/;Успешно отправлено
;Gatsby Cafè;Rome, Italy;P.za Vittorio Emanuele II, 106, 00185 Roma RM, Italy;https://gatsbycafe.it/;https://www.instagram.com/gatsbycafe/;Успешно отправлено
;Faro - Caffè Specialty;Rome, Italy;Via Piave, 55, 00187 Roma RM, Italy;https://www.farorome.com/;https://www.instagram.com/farorome/;Успешно отправлено
;Cafe Washington;Rome, Italy;Via del Viminale, 4, 00184 Roma RM, Italy;http://www.caffewashington.com/;https://instagram.com/caffe_washington;Успешно отправлено
;Le Foodie Café Bistrot;Rome, Italy;Piazzale Appio, 9, 00185 Roma RM, Italy;https://www.lefoodie.it/;https://www.instagram.com/lefoodiebistrot/;Успешно отправлено
;Centoquaranta Bistrot & Caffetteria;Rome, Italy;Via Anastasio II, 140, 00165 Roma RM, Italy;https://centoquaranta.carrd.co/;https://www.instagram.com/barcentoquaranta/;Успешно отправлено
;Hola! Café;Rome, Italy;Viale di Valle Aurelia, 30, 00167 Roma RM, Italy;http://holacafe.it/;https://www.instagram.com/p/CsmLsaqo8uU/;Кнопка сообщения не найдена
;la buvette;Rome, Italy;Via Vittoria, 44/47, 00187 Roma RM, Italy;http://www.dbs-restaurants.com/;https://www.instagram.com/labuvetteroma;Успешно отправлено
;Marziali 1922 - Via Po;Rome, Italy;V. Po, 80, 00198 Roma RM, Italy;http://www.marziali1922.com/;https://www.instagram.com/marziali1922/;Успешно отправлено
;Riccardo Taliani Banqueting;Rome, Italy;Via Genova, 26, 00184 Roma RM, Italy;https://talianiroma.it/;https://www.instagram.com/talianiroma__/;Успешно отправлено
;ThRoof Roma;Rome, Italy;Via Barberini, 50, 00187 Roma RM, Italy;https://www.throof.it/;https://www.instagram.com/qodeinteractive/;Успешно отправлено
;Caffè Palombini;Rome, Italy;P.le Konrad Adenauer, 12, 00144 Roma RM, Italy;https://www.palombini.com/;https://www.instagram.com/palombini_roma/;Успешно отправлено
;Rooftop Jim's Bar;Rome, Italy;Via Alessandro Specchi, 10, 00186 Roma RM, Italy;https://singerpalacehotel.com/rooftop-jims-bar/?utm_source=google&utm_medium=organic&utm_campaign=gmb;https://www.instagram.com/singerpalacehotel/;Успешно отправлено
;Juice Bar;Rome, Italy;Presso Stazione di Roma Termini, Via Marsala, 25, 00185 Roma RM, Italy;http://www.chefexpress.it/;https://www.instagram.com/chefexpress4u/;Успешно отправлено
;Bar della Pace;Rome, Italy;Via della Pace, 3, 00186 Roma RM, Italy;http://www.bardellapace.it/;https://www.instagram.com/bardellapace_official;Успешно отправлено
;Il Bar della Musa;Rome, Italy;Largo del Nazareno, 25, 00187 Roma RM, Italy;https://www.palazzotalia.com/en/drink-and-dine/il-bar-della-musa.html?utm_source=google&utm_medium=local&utm_campaign=googlemybusiness;https://www.instagram.com/palazzo.talia/;Успешно отправлено
;Hotel Virgilio;Rome, Italy;Via Palermo, 30, 00184 Roma RM, Italy;http://www.hotelvirgilio.it/;https://www.instagram.com/hotelvirgiliorome;Успешно отправлено
;Hotel Hiberia Rome;Rome, Italy;Via Ventiquattro Maggio, 8, 00187 Roma RM, Italy;http://www.hotelhiberia.it/;https://www.instagram.com/hotelhiberia/;Успешно отправлено
;Ginevra Palace Hotel;Rome, Italy;Via San Giovanni della Croce, 35, 00166 Roma RM, Italy;http://www.ginevrapalacehotel.it/;https://www.instagram.com/park.hotel.ginevra/;Кнопка сообщения не найдена
;Hotel Ponte Milvio;Rome, Italy;Via della Farnesina, 23, 00135 Roma RM, Italy;http://www.hotelpontemilvio.com/;https://www.instagram.com/hotelpontemilvio/;Кнопка сообщения не найдена
;Daplace - La Locanda di Piazza del Popolo;Rome, Italy;Via Gian Domenico Romagnosi, 3, 00196 Roma RM, Italy;https://book.staydaplace.com/roma/locanda-piazza-del-popolo;https://www.instagram.com/staydaplace;Кнопка сообщения не найдена
